keys,ko,en
노랑시티 골목에서 잠든 채 발견됐다.,노랑시티 골목에서 잠든 채 발견됐다.,Found asleep in a Saffron City alley.
출근하자마자 상자 하나가 덜컹거리더니 뚜껑이 튀어 올랐다. 꼬렛 한 마리가 창고 안을 미친 듯이 뛰어다녔다.,출근하자마자 상자 하나가 덜컹거리더니 뚜껑이 튀어 올랐다. 꼬렛 한 마리가 창고 안을 미친 듯이 뛰어다녔다.,"The moment I clocked in, a crate rattled and its lid popped off. A Rattata went tearing around the warehouse."
잡아서 상자에 다시 넣는다,잡아서 상자에 다시 넣는다,Catch it and put it back
뒷문 쪽으로 몰아서 내보낸다,뒷문 쪽으로 몰아서 내보낸다,Herd it out the back door
"하하, 쥐가 한 마리 늘었네. 보고서엔 원래부터 빈 상자였다고 쓰자.","하하, 쥐가 한 마리 늘었네. 보고서엔 원래부터 빈 상자였다고 쓰자.","Ha ha, one more rat. Let's just say the crate was empty in the report."
본사 트럭이 고장 났대. 오늘은 한 대만 온다니까 할당량이 하나 줄었어.,본사 트럭이 고장 났대. 오늘은 한 대만 온다니까 할당량이 하나 줄었어.,"HQ says a truck broke down. Only one's coming today, so the quota's down by one."
남는 시간에 창고를 청소한다 (의심도 -10),남는 시간에 창고를 청소한다 (의심도 -10),Clean the warehouse with the spare time (Suspicion -10)
선배들과 잡담을 한다,선배들과 잡담을 한다,Chat with your seniors
창고 비상식량 선반 앞에서 나옹이 참치캔 세 개를 끌어안은 채 굳어 있었다.,창고 비상식량 선반 앞에서 나옹이 참치캔 세 개를 끌어안은 채 굳어 있었다.,"At the emergency food shelf, Meowth froze, hugging three cans of tuna."
…이건 그냥 옮기던 중이었다옹. 진짜다옹.,…이건 그냥 옮기던 중이었다옹. 진짜다옹.,"...I was just movin' these, meow. Honest!"
참치캔 값을 대신 채워 넣는다 (-500원),참치캔 값을 대신 채워 넣는다 (-500원),Cover the cost of the tuna (-500 won)
"…이 은혜는 참치캔으로 갚겠다옹. 아, 그건 좀 어렵다옹.","…이 은혜는 참치캔으로 갚겠다옹. 아, 그건 좀 어렵다옹.","...I'll repay ya in tuna, meow. Wait, that might be tough."
못 본 척한다,못 본 척한다,Pretend you didn't see
어제 실적을 전화로 보고해라. 숫자만 말해.,어제 실적을 전화로 보고해라. 숫자만 말해.,Report yesterday's numbers by phone. Numbers only.
"실적을 조금 부풀려 보고한다 (의심도 -10, 아폴로의 경계 +1)","실적을 조금 부풀려 보고한다 (의심도 -10, 아폴로의 경계 +1)","Pad the numbers a little (Suspicion -10, Archer's wariness +1)"
있는 그대로 말한다,있는 그대로 말한다,Tell it straight
밤새 비가 와서 창고 지붕 한쪽이 샜다. 로사가 혼자 젖은 상자를 옮기고 있었다.,밤새 비가 와서 창고 지붕 한쪽이 샜다. 로사가 혼자 젖은 상자를 옮기고 있었다.,Rain leaked through one side of the roof overnight. Jessie was moving the wet crates all alone.
점심을 거르고 같이 옮긴다,점심을 거르고 같이 옮긴다,Skip lunch and help her
…고마워. 너 은근히 쓸 만하다.,…고마워. 너 은근히 쓸 만하다.,...Thanks. You're more useful than you look.
내 몫 상자부터 챙긴다,내 몫 상자부터 챙긴다,Take care of your own crates first
창고 문틈으로 동네 꼬마가 얼굴을 들이밀었다.,창고 문틈으로 동네 꼬마가 얼굴을 들이밀었다.,A neighborhood kid poked their face through the warehouse door.
"저기요, 혹시 여기 우리 가디 있어요? 목에 빨간 방울 달았어요.","저기요, 혹시 여기 우리 가디 있어요? 목에 빨간 방울 달았어요.","Um, is my Growlithe here? It's got a red bell on its collar."
여긴 그런 거 없다고 돌려보낸다,여긴 그런 거 없다고 돌려보낸다,Tell them there's nothing like that here
경찰서에 가서 물어보라고 귀띔한다 (수사망 +4),경찰서에 가서 물어보라고 귀띔한다 (수사망 +4),Hint that they should ask at the police station (Police Heat +4)
꼬마는 고개를 꾸벅 숙이고 경찰서 쪽으로 뛰어갔다.,꼬마는 고개를 꾸벅 숙이고 경찰서 쪽으로 뛰어갔다.,The kid bows quickly and runs off toward the police station.
…엄마가 김밥을 너무 많이 쌌어. 버리긴 아깝잖아.,…엄마가 김밥을 너무 많이 쌌어. 버리긴 아깝잖아.,...Mom packed way too much kimbap. Shame to toss it.
같이 먹는다,같이 먹는다,Eat together
맛있지? 우리 엄마 김밥이 무지개시티에서 제일이야. …아빠 빚만 없으면 가게도 차렸을 거야.,맛있지? 우리 엄마 김밥이 무지개시티에서 제일이야. …아빠 빚만 없으면 가게도 차렸을 거야.,"Good, right? My mom's kimbap is the best in Celadon. ...If it weren't for Dad's debts, she'd have opened a shop."
배불러서 괜찮다고 한다,배불러서 괜찮다고 한다,Say you're full
창고 구석에서 로이가 빗자루를 들고 혼자 대사를 읊고 있었다.,창고 구석에서 로이가 빗자루를 들고 혼자 대사를 읊고 있었다.,"In a corner, James was holding a broom and reciting lines to himself."
"'장미는 가시가 있어서 아름다운 거야!' …아, 봤어? 어릴 때 연극반이었거든.","'장미는 가시가 있어서 아름다운 거야!' …아, 봤어? 어릴 때 연극반이었거든.","""A rose is beautiful because of its thorns!"" ...Oh, you saw that? I was in drama club as a kid."
관객이 되어 박수를 쳐 준다,관객이 되어 박수를 쳐 준다,Be his audience and applaud
일이나 하자고 한다,일이나 하자고 한다,Tell him to get back to work
오전 내내 창고가 정전이었다. 감시 카메라도 꺼져 있었다.,오전 내내 창고가 정전이었다. 감시 카메라도 꺼져 있었다.,The warehouse lost power all morning. The security cameras were down too.
이 틈에 뒷문 빗장을 풀어 둔다 (오늘 처음 풀어주는 한 마리는 의심받지 않는다),이 틈에 뒷문 빗장을 풀어 둔다 (오늘 처음 풀어주는 한 마리는 의심받지 않는다),Unbolt the back door while you can (today's first release won't raise suspicion)
전기가 들어올 때까지 가만히 기다린다,전기가 들어올 때까지 가만히 기다린다,Wait quietly for the power to come back
상자 사이에서 야생 꼬렛 떼가 쏟아져 나왔다. 사료 포대를 노리고 들어온 모양이었다.,상자 사이에서 야생 꼬렛 떼가 쏟아져 나왔다. 사료 포대를 노리고 들어온 모양이었다.,A swarm of wild Rattata poured out from between the crates. They must've been after the feed sacks.
빗자루로 쫓아낸다 (해충 퇴치 수당 +300원),빗자루로 쫓아낸다 (해충 퇴치 수당 +300원),Chase them out with a broom (pest control bonus +300 won)
사료를 조금 나눠 주고 내보낸다,사료를 조금 나눠 주고 내보낸다,Give them a little feed and let them go
내 검수 책상 위에 쪽지가 놓여 있었다. '너를 보고 있다. -A',내 검수 책상 위에 쪽지가 놓여 있었다. '너를 보고 있다. -A',"There was a note on my inspection desk. ""I'm watching you. -A"""
쪽지를 찢어 버린다,쪽지를 찢어 버린다,Tear up the note
"오늘은 보고서를 더 꼼꼼히 쓴다 (의심도 -8, 할당량 +1)","오늘은 보고서를 더 꼼꼼히 쓴다 (의심도 -8, 할당량 +1)","Write today's report extra carefully (Suspicion -8, quota +1)"
창고 문에 전단이 붙어 있었다. '솜이를 찾습니다.' 아이 글씨로 '이 근처에서 봤다는 사람이 있어요'라고 덧붙여 있었다.,창고 문에 전단이 붙어 있었다. '솜이를 찾습니다.' 아이 글씨로 '이 근처에서 봤다는 사람이 있어요'라고 덧붙여 있었다.,"A flyer was taped to the warehouse door: ""Looking for Fluffy."" In a child's handwriting: ""Someone saw her near here."""
전단을 떼어 버린다 (수사망 -3),전단을 떼어 버린다 (수사망 -3),Tear down the flyer (Police Heat -3)
그대로 둔다 (수사망 +3),그대로 둔다 (수사망 +3),Leave it up (Police Heat +3)
수감된 로사,수감된 로사,Jessie Behind Bars
기록을 쫓는 잔당 간부,기록을 쫓는 잔당 간부,The Remnant Exec on the Paper Trail
설산의 모녀,설산의 모녀,Mother and Daughter in the Snow
텅 빈 오두막,텅 빈 오두막,The Empty Cabin
기록을 찾아 떠돌다,기록을 찾아 떠돌다,Drifting in Search of the Records
실패하는 로켓단,실패하는 로켓단,"Team Rocket, Failing as Usual"
다섯 번째 식구,다섯 번째 식구,The Fifth Family Member
또 도망친 신랑,또 도망친 신랑,The Groom Who Ran Again
실패가 좋은 로이,실패가 좋은 로이,"James, Happy to Fail"
성도의 인질,성도의 인질,Hostage in Johto
변호사를 거절한 청년,변호사를 거절한 청년,The Kid Who Refused a Lawyer
대장을 찾아서,대장을 찾아서,Searching for Captain
항구의 파란 머리,항구의 파란 머리,Blue Hair at the Harbor
대장과 함께,대장과 함께,Together with Captain
돌아가는 것도 도망은 아니다,돌아가는 것도 도망은 아니다,Going Home Isn't Running Away
빚 없는 보리네,빚 없는 보리네,"Barley's Family, Debt-Free"
돌려준 차례,돌려준 차례,Your Turn to Be Given Back
피해자이자 공범,피해자이자 공범,Victim and Accomplice
실적 1등 잔당,실적 1등 잔당,Top-Performing Remnant
보호소의 세나,보호소의 세나,Sena at the Shelter
편의점 야간 알바,편의점 야간 알바,Night Shift at the Convenience Store
삼인조의 나옹,삼인조의 나옹,Meowth of the Trio
골목의 두 나옹,골목의 두 나옹,Two Meowth in the Alley
혼자 떠도는 나옹,혼자 떠도는 나옹,"Meowth, Drifting Alone"
난로 앞 자리,난로 앞 자리,A Seat by the Stove
선글라스를 낀 꼬부기가 풀밭에 들렀다. 소방대 배지를 반짝이며 경례를 하고 갔다.,선글라스를 낀 꼬부기가 풀밭에 들렀다. 소방대 배지를 반짝이며 경례를 하고 갔다.,"A Squirtle in sunglasses stopped by the meadow. It flashed its fire squad badge, saluted, and left."
풀숲에서 캐터피 한 마리가 고개를 내밀었다. 목에 낡은 쪽지 자국이 있었다. 초록이였다. 녀석은 한참 나를 보다가 상록숲 쪽으로 기어갔다.,풀숲에서 캐터피 한 마리가 고개를 내밀었다. 목에 낡은 쪽지 자국이 있었다. 초록이였다. 녀석은 한참 나를 보다가 상록숲 쪽으로 기어갔다.,"A Caterpie poked its head out of the grass. There was a worn mark on its neck where a note had been. It was Greenie. It stared at me a long while, then crawled off toward Viridian Forest."
경찰견 3호가 순찰 중에 풀밭을 지나갔다. 킁킁거리더니 모른 척하고 가 버렸다. 순경에게도 아무 말 하지 않은 것 같다.,경찰견 3호가 순찰 중에 풀밭을 지나갔다. 킁킁거리더니 모른 척하고 가 버렸다. 순경에게도 아무 말 하지 않은 것 같다.,"Police dog No. 3 passed the meadow on patrol. It sniffed around, then pretended not to notice and left. It doesn't seem to have told the Officer anything."
분홍 리본을 단 이브이가 풀밭 가장자리에서 한참 나를 보다가 무지개시티 쪽으로 돌아갔다.,분홍 리본을 단 이브이가 풀밭 가장자리에서 한참 나를 보다가 무지개시티 쪽으로 돌아갔다.,"An Eevee with a pink ribbon watched me from the edge of the meadow for a long time, then headed back toward Celadon City."
구구가 다리에 새 쪽지를 묶고 날아왔다. '편지 고마워요. 갈색시티에서.' 쪽지 안에 500원짜리 동전이 끼워져 있었다.,구구가 다리에 새 쪽지를 묶고 날아왔다. '편지 고마워요. 갈색시티에서.' 쪽지 안에 500원짜리 동전이 끼워져 있었다.,"A Pidgey flew in with a new note on its leg. ""Thanks for the letter. From Vermilion City."" Tucked inside was a 500-won coin."
떠돌이 나옹이 선배네 나옹과 나란히 풀밭을 지나갔다. 선배네 나옹이 나를 보고 앞발을 들어 보였다.,떠돌이 나옹이 선배네 나옹과 나란히 풀밭을 지나갔다. 선배네 나옹이 나를 보고 앞발을 들어 보였다.,The stray Meowth walked through the meadow side by side with the senior's Meowth. The senior's Meowth raised a paw at me.
창고 앞 도랑에 미뇽 한 마리가 꼬리를 흔들고 있었다. 사파리존까지 가는 길에 들렀나 보다.,창고 앞 도랑에 미뇽 한 마리가 꼬리를 흔들고 있었다. 사파리존까지 가는 길에 들렀나 보다.,A Dratini was wagging its tail in the ditch outside the warehouse. It must have stopped by on its way to the Safari Zone.
필살 앞니,필살 앞니,Hyper Fang
뼈다귀 부메랑,뼈다귀 부메랑,Bonemerang
변신,변신,Transform
순간이동,순간이동,Teleport
록온,록온,Lock-On
고양이돈받기,고양이돈받기,Pay Day
염동력,염동력,Confusion
하품,하품,Yawn
난동부리기,난동부리기,Thrash
두번치기,두번치기,Double Kick
1주차 월요일,1주차 월요일,Week 1 · Monday
상자를 열어 확인하고 본사 트럭에 실을 것. 오늘 할당량은 4마리.,상자를 열어 확인하고 본사 트럭에 실을 것. 오늘 할당량은 4마리.,"Open the crates, check them, and load them onto the HQ truck. Today's quota: 4."
[본사 지침] 상자는 전부 본사로 보낸다. 빈 상자는 보고서에 사유를 적는다.,[본사 지침] 상자는 전부 본사로 보낸다. 빈 상자는 보고서에 사유를 적는다.,"[HQ Guidelines] All crates go to HQ. For empty crates, state the reason in your report."
"[상록일보] 무지개시티 하나(9) 양, 사라진 이브이 '솜이'를 찾는 전단 300장을 붙여. ""분홍 리본을 달고 있어요.""","[상록일보] 무지개시티 하나(9) 양, 사라진 이브이 '솜이'를 찾는 전단 300장을 붙여. ""분홍 리본을 달고 있어요.""","[Viridian Daily] Celadon City girl Hana (9) posts 300 flyers for her missing Eevee, ""Fluffy."" ""She's wearing a pink ribbon."""
이브이,이브이,Eevee
무지개시티 주택가의 어느 집 마당에서 데려왔다.,무지개시티 주택가의 어느 집 마당에서 데려왔다.,Taken from a backyard in a Celadon City neighborhood.
분홍 리본을 달고 있다. 이름표에 '솜이'라고 적혀 있다.,분홍 리본을 달고 있다. 이름표에 '솜이'라고 적혀 있다.,"Wears a pink ribbon. Its name tag says ""Fluffy."""
피카츄,피카츄,Pikachu
무인발전소 근처에서 잡은 야생 개체. 만질 때 전기 조심.,무인발전소 근처에서 잡은 야생 개체. 만질 때 전기 조심.,"Wild, caught near the Power Plant. Watch for shocks when handling."
"[상록일보] 상록숲에서 캐터피를 찾던 초등학생 민수 군, 밤늦게 길을 잃었다가 구조돼.","[상록일보] 상록숲에서 캐터피를 찾던 초등학생 민수 군, 밤늦게 길을 잃었다가 구조돼.","[Viridian Daily] Schoolboy Minsu, searching Viridian Forest for his Caterpie, rescued after getting lost late at night."
캐터피,캐터피,Caterpie
상록숲에서 벌레잡이 소년에게서 '넘겨받았다'.,상록숲에서 벌레잡이 소년에게서 '넘겨받았다'.,"""Handed over"" by a Bug Catcher in Viridian Forest."
삐뚤빼뚤한 글씨의 쪽지가 붙어 있다. '제 첫 포켓몬이에요. 이름은 초록이에요. 돌려주세요. 민수',삐뚤빼뚤한 글씨의 쪽지가 붙어 있다. '제 첫 포켓몬이에요. 이름은 초록이에요. 돌려주세요. 민수',"A note in wobbly handwriting is attached. ""This is my first Pokémon. His name is Greenie. Please give him back. Minsu"""
순찰하던 경찰관 곁에서 떨어져 나온 개체.,순찰하던 경찰관 곁에서 떨어져 나온 개체.,Separated from a patrolling police officer.
경찰 인식표를 차고 있다. '상록시티 경찰서 3호',경찰 인식표를 차고 있다. '상록시티 경찰서 3호',"Wears a police tag: ""Viridian City Police, No. 3."""
1주차 · 입사,1주차 · 입사,Week 1 · First Day
로켓단 합격 문자를 받은 건 지난주였다. 그때 월세는 이미 넉 달째 밀려 있었다.,로켓단 합격 문자를 받은 건 지난주였다. 그때 월세는 이미 넉 달째 밀려 있었다.,"The Team Rocket acceptance text came last week. By then, rent was already four months overdue."
첫 출근지는 상록시티 외곽에 있는 낡은 창고였다.,첫 출근지는 상록시티 외곽에 있는 낡은 창고였다.,My first workplace was a run-down warehouse on the outskirts of Viridian City.
"창고 문을 여는 순간 이상한 기분이 들었다. 이 문도, 이 냄새도, 한 번 겪어 본 것만 같았다.","창고 문을 여는 순간 이상한 기분이 들었다. 이 문도, 이 냄새도, 한 번 겪어 본 것만 같았다.","The moment I opened the door, a strange feeling came over me. This door, this smell... it all felt like I'd been here before."
"네가 이번에 들어온 신입이구나. 난 로사, 이쪽은 로이야. 오늘부터 우리가 네 사수야.","네가 이번에 들어온 신입이구나. 난 로사, 이쪽은 로이야. 오늘부터 우리가 네 사수야.","So you're the new hire. I'm Jessie, and this is James. Starting today, we're your supervisors."
반가워. 너무 긴장하지 마. 여기 일은 어렵지 않아.,반가워. 너무 긴장하지 마. 여기 일은 어렵지 않아.,Nice to meet you. Don't be so nervous. The work here isn't hard.
나는 나옹이다옹. 말하는 나옹은 처음 보지? 놀라는 건 일 끝나고 하라옹.,나는 나옹이다옹. 말하는 나옹은 처음 보지? 놀라는 건 일 끝나고 하라옹.,"I'm Meowth, meow. Never seen a talkin' Meowth before? Save the shock for after work, meow."
일은 간단해. 현장 팀이 잡아 온 포켓몬이 상자에 담겨서 들어와. 상자를 열어 상태를 보고 본사 트럭에 실으면 끝이야.,일은 간단해. 현장 팀이 잡아 온 포켓몬이 상자에 담겨서 들어와. 상자를 열어 상태를 보고 본사 트럭에 실으면 끝이야.,"It's simple. The field team's catches come in crates. Open 'em, check their condition, load 'em on the HQ truck. Done."
오늘 할당량은 네 마리야. 못 채우면 일당이 깎이니까 알아서 잘해.,오늘 할당량은 네 마리야. 못 채우면 일당이 깎이니까 알아서 잘해.,"Today's quota is four. Miss it and your pay gets docked, so handle it."
…그리고 상자에 가끔 편지나 이름표 같은 게 같이 딸려 와.,…그리고 상자에 가끔 편지나 이름표 같은 게 같이 딸려 와.,"...Also, sometimes letters or name tags come in the crates with them."
그런 건 그냥 안 읽는 게 편해. 진짜로.,그런 건 그냥 안 읽는 게 편해. 진짜로.,"Honestly, it's easier if you just don't read them."
"로이, 신입한테 쓸데없는 소리 하지 마. 자, 트럭 오기 전에 시작하자.","로이, 신입한테 쓸데없는 소리 하지 마. 자, 트럭 오기 전에 시작하자.","James, stop filling the new hire's head with nonsense. Come on, let's start before the truck gets here."
…어? 상자 수가 안 맞는데. 아침에 여섯 개 들어왔잖아.,…어? 상자 수가 안 맞는데. 아침에 여섯 개 들어왔잖아.,...Huh? The crate count's off. Six came in this morning.
"아, 아까 쥐가 상자 하나를 갉아 놨더라고. 안에 아무것도 없었어.","아, 아까 쥐가 상자 하나를 갉아 놨더라고. 안에 아무것도 없었어.","Oh, a rat chewed through one earlier. There was nothing inside."
쥐가 포켓몬을 물고 갔다는 거야? …됐어. 보고서엔 그렇게 쓸게.,쥐가 포켓몬을 물고 갔다는 거야? …됐어. 보고서엔 그렇게 쓸게.,A rat ran off with a Pokémon? ...Fine. That's what I'll put in the report.
첫날인데 손이 빠르네. 본사가 좋아하겠어.,첫날인데 손이 빠르네. 본사가 좋아하겠어.,Fast hands for a first day. HQ's gonna love you.
"원룸 문 앞에 집주인의 쪽지가 붙어 있었다. '밀린 월세 42,000원. 이번 주 금요일에 12,000원, 그다음부터는 매주 15,000원씩.'","원룸 문 앞에 집주인의 쪽지가 붙어 있었다. '밀린 월세 42,000원. 이번 주 금요일에 12,000원, 그다음부터는 매주 15,000원씩.'","A note from the landlord was stuck to the apartment door. ""Back rent: 42,000 won. 12,000 won this Friday, then 15,000 won every week after."""
선반 위에는 빈 몬스터볼이 하나 놓여 있다. 올봄 태초마을 오박사 연구소에서 받아 온 것이다.,선반 위에는 빈 몬스터볼이 하나 놓여 있다. 올봄 태초마을 오박사 연구소에서 받아 온 것이다.,On the shelf sits an empty Poké Ball. I got it this spring from Professor Oak's lab in Pallet Town.
"그해 연구소에 첫 포켓몬은 세 마리뿐이었다. 두 마리는 옆집 애와 오박사의 손자가 가져갔고, 남은 한 마리는 내 차례였다.","그해 연구소에 첫 포켓몬은 세 마리뿐이었다. 두 마리는 옆집 애와 오박사의 손자가 가져갔고, 남은 한 마리는 내 차례였다.","That year, the lab had only three starter Pokémon. The kid next door and Oak's grandson took two. The last one was mine."
서류에는 보호자 도장이 필요했다. 아버지는 끝내 도장을 찍어 주지 않았다. 나는 그 길로 집을 나와 도시로 왔다.,서류에는 보호자 도장이 필요했다. 아버지는 끝내 도장을 찍어 주지 않았다. 나는 그 길로 집을 나와 도시로 왔다.,The paperwork needed a guardian's stamp. My father never gave it. I left home right then and came to the city.
잠들기 전에 쪽지에 적힌 이름이 자꾸 떠올랐다. 초록이는 상록숲까지 혼자 잘 찾아갔을까.,잠들기 전에 쪽지에 적힌 이름이 자꾸 떠올랐다. 초록이는 상록숲까지 혼자 잘 찾아갔을까.,"Before falling asleep, the name on that note kept coming back. Did Greenie make it back to Viridian Forest all right?"
잠들기 전에 쪽지에 적힌 이름이 자꾸 떠올랐다. 민수라는 아이는 오늘 밤에도 숲에서 초록이를 부르고 있을까.,잠들기 전에 쪽지에 적힌 이름이 자꾸 떠올랐다. 민수라는 아이는 오늘 밤에도 숲에서 초록이를 부르고 있을까.,"Before falling asleep, the name on that note kept coming back. Is that boy Minsu out in the forest tonight, still calling for Greenie?"
1주차 화요일,1주차 화요일,Week 1 · Tuesday
아픈 포켓몬은 반품된다. 아픈 녀석은 트럭 말고 뒷문 폐기함으로. (폐기는 의심받지 않는다),아픈 포켓몬은 반품된다. 아픈 녀석은 트럭 말고 뒷문 폐기함으로. (폐기는 의심받지 않는다),"Sick Pokémon get sent back. Put sick ones in the disposal bin by the back door, not the truck. (Disposal raises no suspicion.)"
"[본사 공지] 병든 개체는 반품하고, 반품 한 마리당 일당 500원 차감.","[본사 공지] 병든 개체는 반품하고, 반품 한 마리당 일당 500원 차감.",[HQ Notice] Sick specimens will be returned. 500 won docked from daily pay per return.
[증상표] 열이 남 · 기침 · 먹지 않음 · 목이 쉼 → 병든 개체,[증상표] 열이 남 · 기침 · 먹지 않음 · 목이 쉼 → 병든 개체,[Symptom Chart] Fever · Coughing · Not eating · Hoarse voice → Sick specimen
"다리에 쪽지가 묶여 있다. '여보, 이번 항해만 끝나면 꼭 집에 갈게. 상트앤 호에서.'","다리에 쪽지가 묶여 있다. '여보, 이번 항해만 끝나면 꼭 집에 갈게. 상트앤 호에서.'","A note is tied to its leg. ""Honey, once this voyage is over, I'm coming home. From the S.S. Anne."""
"[상록일보] 갈색시티의 한 부인, 반년 만에 남편 편지 받아. ""구구가 창문을 두드렸어요.""","[상록일보] 갈색시티의 한 부인, 반년 만에 남편 편지 받아. ""구구가 창문을 두드렸어요.""","[Viridian Daily] Vermilion City woman receives letter from husband after half a year. ""A Pidgey tapped on my window."""
"[상록일보] 상트앤 호 선원 가족들 ""배에서 보낸 전서구가 한 마리도 도착하지 않는다.""","[상록일보] 상트앤 호 선원 가족들 ""배에서 보낸 전서구가 한 마리도 도착하지 않는다.""","[Viridian Daily] S.S. Anne crew families: ""Not one of the carrier birds sent from the ship has arrived."""
푸린,푸린,Jigglypuff
달맞이산 입구에서 노래를 부르다가 잡혔다.,달맞이산 입구에서 노래를 부르다가 잡혔다.,Caught singing at the entrance to Mt. Moon.
목이 잔뜩 쉬어 있다. 만져 보니 몸이 뜨겁다.,목이 잔뜩 쉬어 있다. 만져 보니 몸이 뜨겁다.,Its voice is completely hoarse. It feels hot to the touch.
푸린(열병),푸린(열병),Jigglypuff (Fever)
[상록일보] 보라타운 창고 화재에 꼬부기 소방대 출동. 늘 다섯이던 대열에 한 자리가 비어 있었다.,[상록일보] 보라타운 창고 화재에 꼬부기 소방대 출동. 늘 다섯이던 대열에 한 자리가 비어 있었다.,[Viridian Daily] Squirtle Squad responds to Lavender Town warehouse fire. Their usual line of five had one spot empty.
꼬부기,꼬부기,Squirtle
주인 없는 꼬부기 무리에서 떨어진 한 마리를 데려왔다.,주인 없는 꼬부기 무리에서 떨어진 한 마리를 데려왔다.,Brought in after it strayed from a group of ownerless Squirtle.
까만 선글라스를 끼고 있다. 벗기려고 하면 운다.,까만 선글라스를 끼고 있다. 벗기려고 하면 운다.,Wears black sunglasses. Cries if you try to take them off.
삐삐,삐삐,Clefairy
달맞이산 아래 어느 할머니 집 창가에서 데려왔다.,달맞이산 아래 어느 할머니 집 창가에서 데려왔다.,Taken from a windowsill at an old lady's house below Mt. Moon.
손뜨개 목도리를 두르고 있다. 쉬지 않고 기침을 한다.,손뜨개 목도리를 두르고 있다. 쉬지 않고 기침을 한다.,Wrapped in a hand-knit scarf. It won't stop coughing.
삐삐(감기),삐삐(감기),Clefairy (Cold)
1주차 화요일 · 반품,1주차 화요일 · 반품,Week 1 · Tuesday · Returns
"[상록일보] 상록시티 경찰서 경찰견 '3호' 순찰 중 실종. 경찰, 포켓몬 도둑 조직 소행으로 보고 수사 착수.","[상록일보] 상록시티 경찰서 경찰견 '3호' 순찰 중 실종. 경찰, 포켓몬 도둑 조직 소행으로 보고 수사 착수.","[Viridian Daily] Viridian City police dog ""No. 3"" goes missing on patrol. Police suspect a Pokémon theft ring."
"[상록일보] 실종됐던 경찰견 '3호', 하룻밤 만에 혼자 경찰서로 돌아와. ""문 앞에 얌전히 앉아 있더라.""","[상록일보] 실종됐던 경찰견 '3호', 하룻밤 만에 혼자 경찰서로 돌아와. ""문 앞에 얌전히 앉아 있더라.""","[Viridian Daily] Missing police dog ""No. 3"" returns to the station on its own overnight. ""It was just sitting politely by the door."""
"[상록일보] 태초마을 출신 소년 트레이너, 회색시티 체육관 관장 웅을 꺾어. 올봄 오박사에게 첫 포켓몬을 받은 신인.","[상록일보] 태초마을 출신 소년 트레이너, 회색시티 체육관 관장 웅을 꺾어. 올봄 오박사에게 첫 포켓몬을 받은 신인.",[Viridian Daily] Boy trainer from Pallet Town defeats Pewter City Gym Leader Brock. A rookie who got his first Pokémon from Professor Oak this spring.
옆집 애 이야기였다. 모자를 늘 눌러쓰고 말수가 없던 애. 그 애는 벌써 배지를 모으고 있었다.,옆집 애 이야기였다. 모자를 늘 눌러쓰고 말수가 없던 애. 그 애는 벌써 배지를 모으고 있었다.,"It was the kid next door. Always had his cap pulled low, never said much. And he was already collecting Badges."
본사에서 공지 왔어. 어제 다른 창고에서 보낸 푸린이 병이 나서 반품됐대.,본사에서 공지 왔어. 어제 다른 창고에서 보낸 푸린이 병이 나서 반품됐대.,"HQ sent a notice. A Jigglypuff another warehouse shipped yesterday got sick, so it was returned."
그래서 오늘부터 아픈 포켓몬은 트럭에 싣지 말고 뒷문 폐기함에 넣으래. 반품되면 그만큼 일당에서 깎을 거래.,그래서 오늘부터 아픈 포켓몬은 트럭에 싣지 말고 뒷문 폐기함에 넣으래. 반품되면 그만큼 일당에서 깎을 거래.,"So starting today, sick Pokémon don't go on the truck. They go in the disposal bin by the back door. Any returns come out of our daily pay."
폐기함이라고 해도 별거 없어. 뒷문 옆에 있는 커다란 통이야.,폐기함이라고 해도 별거 없어. 뒷문 옆에 있는 커다란 통이야.,Don't let the name scare you. It's just a big bin next to the back door.
나중에 보니 폐기함은 바닥이 뚫린 통이었다. 뚜껑을 열면 그냥 바깥 풀밭이었다.,나중에 보니 폐기함은 바닥이 뚫린 통이었다. 뚜껑을 열면 그냥 바깥 풀밭이었다.,"Later I found out the disposal bin had no bottom. Open the lid, and it was just the meadow outside."
본사는 아픈 녀석을 치료해 줄 돈이 아깝다는 거다옹. 결국 풀어주라는 소리랑 같다옹.,본사는 아픈 녀석을 치료해 줄 돈이 아깝다는 거다옹. 결국 풀어주라는 소리랑 같다옹.,"HQ doesn't want to pay to treat the sick ones, meow. So it's the same as saying ""let them go."""
삐삐가 반품됐다고? 기침하던 그 녀석 말이지…. 본사에서 돌아온 상자는 폐기함으로 가. 그나마 다행이네.,삐삐가 반품됐다고? 기침하던 그 녀석 말이지…. 본사에서 돌아온 상자는 폐기함으로 가. 그나마 다행이네.,"The Clefairy got returned? The one that was coughing, right…? Crates that come back from HQ go in the disposal bin. That's something, at least."
선글라스 낀 꼬부기 봤어? 뒷문 밖에서 친구들이 데리러 왔더라. 다섯 마리가 전부 선글라스를 끼고 있었어.,선글라스 낀 꼬부기 봤어? 뒷문 밖에서 친구들이 데리러 왔더라. 다섯 마리가 전부 선글라스를 끼고 있었어.,Did you see the Squirtle with the sunglasses? Its friends came to get it out back. All five of them were wearing sunglasses.
